"deeplink","Domain","host","tld","domaincc","keywords","LE","BL","DP","LP","CCP","IPP","ABY","ACR","WBY","Registrar","Alexa","QCR","Dmoz","Add Date","C","N","O","B","I","D","US","COM.AU","CA","UK","CO.UK","CO","EU","IN","CO.IN","AT","CH","BE","NL","DK","FR","PL","ES","PT","IT","ME","TV","IO","CN","RU","SE","NU","TLDs Reg","TLDs Reg32","TLDs Free32","SG","CO","CPC","SDE","CODE","CPCDE","SUS","COUS","CPCUS","SUK","COUK","CPCUK","MMGR","MMIP","MMCP","SQI","NFB","NTW","CF","TF","TR","MBL","MIU","MCU","MDP","MIP","MCP","TTF","MODE","MOLE","MOLI","MOLP","MRDL","MRDF","MRDH","MRDD","MRDS","ML","MLTP","MRL","MRLP","MDPE","MBLE","MDPG","MBLG","MDPEE","MBLEE","MDPGE","MBLGE","SRUSR","SRUSK","SRUST","SRUSC","RDT","RDS","RDE","RDT COM","RDS COM","RDE COM","RDT CNO","RDS CNO","RDE CNO","WPL","GEO","GEOC","GEOD","Dropped","Status",
"https://www.expireddomains.net/goto/1/aym5a8/489/?tr=export","anticafe.ee","anticafe","ee","AntiCafe.ee","Anti Cafe","8","24","2","7","2","2","2017-01-18","10","2016-10-03","Zone Media OÜ","0","0","no","1542546842","registered","registered","registered","available","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","available","registered","registered","available","registered","registered","registered","registered","available","available","available","registered","registered","available","36","23","9","1900","1","0.39 USD","50","0","0.00 EUR","70","0","0.00 USD","40","0","0.00 GBP","0","0","0","10","taken","taken","1","11","0.09","24","59","20","8","8","8","11 - Computers/Internet (97.31%), 7 - Recreation (2.05%), 5 - Computers/Education (0.20%), 5 - Computers/Internet/On the Web (0.11%), 5 - Business/Transportation and Logistics (0.09%)","2","2","10","12","8","7","0","8","5","[English - 60.00%], [Estonian - 40.00%]","10","[Estonian - 90.40%], [English - 4.70%], [Russian - 4.70%]","21","0","0","0","0","0","0","0","0","19861530","1","0","0","77","41","36","62","36","27","74","40","34","0","","","","2018-11-18 13:14","available",
"https://www.expireddomains.net/goto/1/auabyz/489/?tr=export","krahl24.ee","krahl24","ee","krahl24.ee","krahl","7","23","9","21","6","8","2016-10-31","41","2016-10-04","Radicenter OÜ","0","0","no","1542633243","available","available","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","1","1","31","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","taken","3","0","0.00","23","8","3","14","13","11","-","0","0","0","0","11","8","0","14","3","","0","[English - 52.30%], [Chinese - 23.80%], [French - 9.50%], [Norwegian - 9.50%], [Persian - 4.70%]","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-19 13:14","available",
"https://www.expireddomains.net/goto/1/1v31d8/489/?tr=export","turundusguru.ee","turundusguru","ee","turundusguru.ee","Tu Run Dus Guru","12","23","1","10","1","1","2009-01-23","45","2018-11-18","Zone Media OÜ","0","0","no","1542460442","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","taken","5","0","0.00","23","391","389","7","7","5","-","0","0","0","0","7","5","0","7","3","","0","[Estonian - 84.20%], [English - 15.70%]","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-17 13:14","registered",
"https://www.expireddomains.net/goto/1/23duu6/489/?tr=export","mushroom.ee","mushroom","ee","Mushroom.ee","Mushroom","8","22","0","0","0","0","2003-02-12","46","2017-10-06","Zone Media OÜ","0","0","no","1542805983","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","registered","available","registered","registered","registered","registered","registered","registered","registered","registered","138","30","2","450000","9","0.20 USD","8100","3","0.28 EUR","110000","12","0.56 USD","27100","4","0.32 GBP","0","0","0","0","taken","taken","3","0","0.00","22","8","3","3","2","2","-","0","0","0","0","3","3","0","3","0","","0","[Estonian - 100.00%]","21","0","0","0","0","0","0","0","0","0","0","0","0","3543","2234","1309","2973","1850","1124","3435","2159","1276","0","","","","2018-11-21 13:13","available",
"https://www.expireddomains.net/goto/1/277oer/489/?tr=export","otepaareisiburoo.ee","otepaareisiburoo","ee","otepaareisiburoo.ee","Ote PaAre Isi Bur Oo","16","19","1","3","1","1","2004-06-14","45","2016-09-30","Telia Eesti AS","0","0","no","1542287643","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","5","0","0.00","19","2","2","5","5","5","-","1","1","0","1","4","5","0","5","1","","0","[Estonian - 100.00%]","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-15 13:14","available",
"https://www.expireddomains.net/goto/1/aymab6/489/?tr=export","brofitwear.ee","brofitwear","ee","BroFitWear.ee","Bro Fit Wear","10","15","2","5","2","2","2016-02-11","11","2015-10-07","Elkdata OÜ","0","0","no","1542892442","registered","available","available","available","available","available","available","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","registered","available","available","4","3","29","1600","24","0.03 USD","10","19","0.00 EUR","110","2","1.52 USD","10","5","0.00 GBP","0","0","0","0","taken","taken","3","1","3.00","15","826","826","6","6","6","1 - Computers/Internet (86.72%), 1 - Computers/Education (8.63%), 1 - Reference/Education (4.60%)","1","1","0","787","6","6","1","6","2","","0","[Estonian - 86.60%], [English - 13.30%]","15","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","2","2","1","3","2","1","0","","","","2018-11-22 13:14","available",
"https://www.expireddomains.net/goto/1/3njzbe/489/?tr=export","kunstilaenutus.ee","kunstilaenutus","ee","kunstilaenutus.ee","Kunst Ila EnUt Us","14","11","5","10","4","5","2013-06-12","10","2015-10-06","Zone Media OÜ","0","0","no","1542805985","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","taken","available","6","0","0.00","11","2","2","8","7","7","-","1","1","0","2","8","7","0","8","3","","0","[Estonian - 81.80%], [English - 18.10%]","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","2018-11-21 13:13","available",
"https://www.expireddomains.net/goto/1/4s0gj7/489/?tr=export","moblet.ee","moblet","ee","MobLet.ee","Mob Let","6","10","0","0","0","0","2015-03-23","23","2013-10-07","Zone Media OÜ","0","0","no","1542892442","registered","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","registered","available","available","available","available","available","available","available","registered","available","available","available","available","6","4","28","6120000","14","0.38 USD","201000","13","0.19 EUR","4090000","13","0.54 USD","33100","14","0.37 GBP","0","0","0","0","taken","taken","3","0","0.00","10","8","5","4","3","3","-","2","9","1","5","4","2","1","4","2","[Russian - 60.00%], [Estonian - 20.00%], [English - 20.00%]","5","[Danish - 60.00%], [Estonian - 40.00%]","10","0","0","0","0","0","0","0","0","0","0","0","0","35","31","4","29","28","2","34","30","4","0","","","","2018-11-22 13:14","available",
"https://www.expireddomains.net/goto/1/az0hao/489/?tr=export","lsreklaam.ee","lsreklaam","ee","lsreklaam.ee","lsreklaam","9","9","1","1","1","1","2016-10-21","5","2015-09-30","OÜ Interframe","0","0","no","1542287643","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","0","0","32","0","0","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","available","3","0","0.00","9","5","5","2","2","2","-","0","0","0","0","2","2","0","2","1","","0","[Estonian - 100.00%]","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2018-11-15 13:14","available",
"https://www.expireddomains.net/goto/1/az0hit/489/?tr=export","rantransport.ee","rantransport","ee","RanTransport.ee","Ran Transport","12","8","1","1","1","1","2018-02-03","1","2016-10-03","Zone Media OÜ","0","0","no","1542546782","registered","registered","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","available","2","2","30","50","4","0.00 USD","0","0","0.00 EUR","0","0","0.00 USD","0","0","0.00 GBP","0","0","0","0","available","taken","3","0","0.00","8","157","64","4","4","4","-","2","2","17","58","4","4","0","4","1","[Estonian - 93.10%], [Russian - 6.80%]","58","[Estonian - 85.70%], [English - 14.20%]","7","0","0","0","0","0","0","0","0","34426892","1","0","0","48","4","44","42","3","40","47","4","43","0","","","","2018-11-18 13:13","available",
