"deeplink";"Domain";"host";"tld";"domaincc";"keywords";"LE";"BL";"DP";"LP";"CCP";"IPP";"ABY";"ACR";"WBY";"Registrar";"Alexa";"QCR";"Dmoz";"Add Date";"C";"N";"O";"B";"I";"D";"US";"COM.AU";"CA";"UK";"CO.UK";"CO";"EU";"IN";"CO.IN";"AT";"CH";"BE";"NL";"DK";"FR";"PL";"ES";"PT";"IT";"ME";"TV";"IO";"CN";"RU";"SE";"NU";"TLDs Reg";"TLDs Reg32";"TLDs Free32";"SG";"CO";"CPC";"SDE";"CODE";"CPCDE";"SUS";"COUS";"CPCUS";"SUK";"COUK";"CPCUK";"MMGR";"MMIP";"MMCP";"SQI";"NFB";"NTW";"CF";"TF";"TR";"MBL";"MIU";"MCU";"MDP";"MIP";"MCP";"TTF";"MODE";"MOLE";"MOLI";"MOLP";"MRDL";"MRDF";"MRDH";"MRDD";"MRDS";"ML";"MLTP";"MRL";"MRLP";"MDPE";"MBLE";"MDPG";"MBLG";"MDPEE";"MBLEE";"MDPGE";"MBLGE";"SRUSR";"SRUSK";"SRUST";"SRUSC";"RDT";"RDS";"RDE";"RDT COM";"RDS COM";"RDE COM";"RDT CNO";"RDS CNO";"RDE CNO";"WPL";"GEO";"GEOC";"GEOD";"End Date";
"https://www.expireddomains.net/goto/1/18vds9/7/?tr=export";"infopluss.ee";"infopluss";"ee";"infopluss.ee";"Info Pluss";"9";"5159";"694";"38";"43";"36";"2000-05-30";"355";"2010-07-04";"Zone Media OÜ";"0";"0";"yes";"1538836759";"registered";"available";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"available";"available";"3";"3";"29";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"taken";"14";"22";"0.64";"5159";"184";"116";"155";"132";"111";"22 - Business (99.70%), 10 - Reference/Directories (0.10%), 10 - Arts/Television (0.06%), 9 - Computers/Internet/Searching (0.03%), 9 - Society/Government (0.02%)";"1";"1";"0";"60";"151";"129";"2";"155";"37";"";"0";"[English - 74.80%], [Estonian - 21.20%], [Russian - 2.70%], [Finnish - 0.30%], [German - 0.10%], [Norwegian - 0.10%], [Japanese - 0.10%]";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"13";"11";"2";"4";"4";"1";"11";"9";"2";"2";"PA";"GB";"luss>gb-city";"2018-11-05";
"https://www.expireddomains.net/goto/1/191io9/7/?tr=export";"raplamv.ee";"raplamv";"ee";"raplamv.ee";"Rap LaMv";"7";"3538";"402";"36";"59";"29";"2000-04-12";"107";"2010-07-04";"Telia Eesti AS";"0";"0";"no";"1539700774";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"available";"12";"9";"1.33";"3538";"62";"11";"876";"140";"111";"9 - Computers/Internet/On the Web (48.77%), 8 - Arts/Music (29.11%), 8 - Business (19.54%), 6 - Computers/Internet (1.07%), 5 - Regional/Europe (0.58%)";"0";"0";"0";"0";"871";"93";"2";"876";"786";"";"0";"[Estonian - 70.20%], [English - 18.40%], [Swedish - 10.30%], [Russian - 0.10%], [Lithuanian - 0.10%]";"0";"1";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"48";"";"";"";"2018-11-15";
"https://www.expireddomains.net/goto/1/ayhifh/7/?tr=export";"digitee.ee";"digitee";"ee";"DigiTee.ee";"Digi Tee";"7";"768";"347";"10";"20";"7";"2016-10-17";"28";"2016-09-20";"Zone Media OÜ";"0";"0";"no";"1538836784";"registered";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"available";"available";"available";"available";"registered";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"5";"5";"27";"140";"36";"1.50 USD";"10";"0";"0.00 EUR";"40";"100";"1.50 USD";"10";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"taken";"6";"11";"0.55";"768";"34";"28";"28";"23";"16";"11 - Regional/Europe (99.07%), 7 - Business (0.88%)";"2";"14";"0";"2";"27";"27";"2";"28";"13";"[Estonian - 50.00%], [Russian - 50.00%]";"0";"[Estonian - 99.30%], [English - 0.60%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"35";"3";"20";"19";"2";"35";"32";"3";"0";"";"";"";"2018-11-05";
"https://www.expireddomains.net/goto/1/1tjdr7/7/?tr=export";"mk-est.ee";"mk-est";"ee";"mk-est.ee";"Mk Est";"6";"1720";"330";"4";"4";"4";"2005-01-06";"91";"2016-09-21";"Elkdata OÜ";"0";"0";"no";"1538923144";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"1";"1";"31";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"available";"11";"5";"2.20";"1720";"22";"20";"19";"16";"16";"5 - Society (55.88%), 4 - News/Newspapers (19.91%), 4 - Computers/Internet (17.23%), 3 - Computers/Companies (3.15%), 3 - Reference/Dictionaries (2.71%)";"0";"0";"0";"0";"19";"14";"1";"19";"6";"";"0";"[Russian - 74.20%], [Estonian - 25.10%], [Xhosa - 0.40%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"4";"2";"5";"4";"2";"6";"4";"2";"2";"";"";"";"2018-11-06";
"https://www.expireddomains.net/goto/1/1szxz4/7/?tr=export";"ida-viru.ee";"ida-viru";"ee";"ida-viru.ee";"Ida Viru";"8";"1905";"307";"4";"7";"4";"2001-12-27";"120";"2016-09-21";"Elkdata OÜ";"0";"0";"no";"1538923144";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"0";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"available";"10";"10";"1.00";"1905";"28";"13";"28";"20";"17";"10 - Business (95.13%), 6 - Recreation/Travel (2.59%), 6 - Society (2.05%), 4 - Regional/Europe (0.09%), 3 - News/Magazines and E-zines (0.01%)";"0";"0";"0";"0";"25";"23";"1";"28";"2";"";"0";"[Estonian - 39.50%], [Swedish - 32.30%], [English - 27.90%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"1";"1";"0";"2";"2";"0";"2";"";"";"";"2018-11-06";
"https://www.expireddomains.net/goto/1/aylh6d/7/?tr=export";"saalijalgpall.ee";"saalijalgpall";"ee";"saalijalgpall.ee";"saalijalgpall";"13";"5501";"247";"2";"2";"2";"2016-10-06";"21";"2016-09-29";"Zone Media OÜ";"0";"0";"no";"1539614474";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"0";"0";"32";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"taken";"taken";"11";"4";"2.75";"5501";"1289";"1112";"12";"8";"8";"4 - Computers/Internet (74.27%), 3 - Business (25.23%), 2 - Business/Textiles and Nonwovens (0.32%), 2 - Computers/Education (0.06%), 1 - Society/Government (0.02%)";"9";"10";"35";"504";"10";"11";"2";"12";"1";"[Russian - 78.50%], [Estonian - 21.40%]";"0";"[Russian - 81.60%], [English - 13.50%], [Estonian - 4.80%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"PA";"DE";"saal>de-city";"2018-11-14";
"https://www.expireddomains.net/goto/1/1u5odu/7/?tr=export";"wihuri.ee";"wihuri";"ee";"wihuri.ee";"wihuri";"6";"247";"207";"3";"3";"3";"2007-06-26";"78";"2010-07-04";"Zone Media OÜ";"0";"0";"no";"1539095931";"registered";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"available";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"registered";"available";"available";"9";"6";"26";"0";"0";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"taken";"7";"12";"0.58";"247";"100";"100";"12";"12";"11";"12 - Business/Financial Services (94.71%), 8 - Business/Real Estate (2.37%), 8 - Arts (2.16%), 7 - News/Media Industry (0.56%), 5 - Recreation/Travel (0.02%)";"2";"3";"0";"98";"12";"11";"0";"12";"3";"[Latvian - 100.00%]";"0";"[Estonian - 94.30%], [English - 3.40%], [Lithuanian - 2.10%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41449044";"1";"0";"0";"8";"4";"4";"4";"3";"2";"8";"4";"4";"0";"";"";"";"2018-11-08";
"https://www.expireddomains.net/goto/1/1su1kg/7/?tr=export";"vapo.ee";"vapo";"ee";"vapo.ee";"Va Po";"4";"509";"195";"14";"17";"14";"2007-06-18";"88";"2010-07-04";"Elkdata OÜ";"0";"0";"no";"1540651205";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"available";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"registered";"available";"registered";"registered";"registered";"registered";"registered";"available";"66";"27";"5";"90";"1";"0.00 USD";"0";"0";"0.00 EUR";"0";"0";"0.00 USD";"0";"0";"0.00 GBP";"0";"0";"0";"0";"available";"taken";"12";"12";"1.00";"509";"957";"954";"42";"35";"29";"12 - Sports/Equestrian (91.11%), 9 - Computers/Internet (3.57%), 8 - Business (1.60%), 8 - Computers/Internet/On the Web (1.12%), 7 - News/Magazines and E-zines (0.92%)";"1";"1";"0";"839";"39";"33";"4";"42";"14";"[Estonian - 100.00%]";"0";"[Estonian - 64.00%], [Finnish - 29.20%], [English - 2.10%], [Russian - 2.10%], [German - 0.90%], [Danish - 0.50%], [Lithuanian - 0.30%], [Xhosa - 0.30%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10972";"10645";"327";"9136";"8871";"266";"10552";"10243";"309";"2";"";"";"";"2018-11-26";
"https://www.expireddomains.net/goto/1/23dud2/7/?tr=export";"citysex.ee";"citysex";"ee";"CitySex.ee";"City Sex";"7";"103211";"190";"5";"24";"5";"2011-10-14";"73";"2011-10-03";"Zone Media OÜ";"0";"0";"no";"1539959820";"registered";"registered";"registered";"available";"available";"registered";"registered";"registered";"available";"available";"registered";"available";"registered";"available";"available";"registered";"registered";"available";"registered";"registered";"available";"available";"available";"available";"available";"available";"available";"available";"available";"registered";"available";"available";"18";"13";"19";"301000";"1";"0.85 USD";"6600";"2";"0.41 EUR";"40500";"1";"1.76 USD";"9900";"0";"0.36 GBP";"0";"0";"0";"0";"taken";"taken";"14";"7";"2.00";"103211";"133";"129";"14";"14";"14";"7 - Computers/Internet (99.24%), 4 - Adult/Regional (0.54%), 3 - Computers/Education (0.07%), 3 - Adult/World (0.06%)";"0";"0";"0";"0";"10";"12";"5";"14";"0";"";"0";"[Estonian - 99.90%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103";"72";"31";"94";"67";"28";"102";"71";"31";"0";"";"";"";"2018-11-18";
"https://www.expireddomains.net/goto/1/3gif6i/7/?tr=export";"petsplanet.ee";"petsplanet";"ee";"PetsPlanet.ee";"Pets Planet";"10";"417";"179";"1";"1";"1";"2008-05-03";"13";"2017-09-26";"Compic OÜ";"0";"0";"no";"1539355023";"registered";"registered";"registered";"available";"available";"registered";"registered";"registered";"available";"registered";"registered";"available";"registered";"registered";"registered";"available";"registered";"registered";"registered";"available";"registered";"available";"registered";"available";"registered";"available";"available";"available";"registered";"registered";"available";"available";"23";"19";"13";"40500";"4";"0.96 USD";"70";"10";"0.00 EUR";"2900";"3";"1.90 USD";"22200";"5";"0.75 GBP";"0";"0";"0";"0";"taken";"taken";"6";"5";"1.20";"417";"29";"19";"12";"11";"11";"5 - Computers/Internet (99.98%)";"1";"1";"0";"1";"12";"9";"0";"12";"6";"";"0";"[Estonian - 92.70%], [Russian - 3.80%], [Bulgarian - 2.10%], [English - 0.70%], [Danish - 0.40%]";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33";"12";"21";"26";"10";"17";"32";"12";"20";"0";"";"";"";"2018-11-11";
