web-scraper-order,web-scraper-start-url,domainLink,domainLink-href,siteName,Category
"1540622208-583","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","nailsloft.com","https://www.snapnames.com/domain/nailsloft.com.action","nailsloft.com","HomeAndGarden > Realestate"
"1540622752-758","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","fotogaming.com","https://www.snapnames.com/domain/fotogaming.com.action","fotogaming.com","Entertainment > Games"
"1540622914-810","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","egute.com","https://www.snapnames.com/domain/egute.com.action","egute.com","null"
"1540622679-734","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","goinq.com","https://www.snapnames.com/domain/goinq.com.action","goinq.com","null"
"1540623187-898","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","championdns.com","https://www.snapnames.com/domain/championdns.com.action","championdns.com","Technology > Internet"
"1540623422-973","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","auctiongourmet.com","https://www.snapnames.com/domain/auctiongourmet.com.action","auctiongourmet.com","FoodAndDrink > Food"
"1540621996-515","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","pixpine.com","https://www.snapnames.com/domain/pixpine.com.action","pixpine.com","PlantsAndAnimals > Trees"
"1540622103-549","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","olivecares.com","https://www.snapnames.com/domain/olivecares.com.action","olivecares.com","FoodAndDrink > Food"
"1540622893-803","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","endhat.com","https://www.snapnames.com/domain/endhat.com.action","endhat.com","ClothingAndAccessories > Clothing"
"1540623277-927","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","bulkbytes.com","https://www.snapnames.com/domain/bulkbytes.com.action","bulkbytes.com","Technology > Tech"
"1540623450-982","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","armscareer.com","https://www.snapnames.com/domain/armscareer.com.action","armscareer.com","Business > Work"
"1540622964-826","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","dorkdocs.com","https://www.snapnames.com/domain/dorkdocs.com.action","dorkdocs.com","People > People"
"1540622535-688","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","international-[...].com","https://www.snapnames.com/domain/international-accident.com.action","international-accident.com","null"
"1540622639-721","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","haseal.com","https://www.snapnames.com/domain/haseal.com.action","haseal.com","PlantsAndAnimals > Animals"
"1540623494-992","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","antiguabarbudablog.com","https://www.snapnames.com/domain/antiguabarbudablog.com.action","antiguabarbudablog.com","Geo > Country"
"1540622560-696","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","idealprof.com","https://www.snapnames.com/domain/idealprof.com.action","idealprof.com","ScienceAndEducation > Education"
"1540623175-894","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","childbeat.com","https://www.snapnames.com/domain/childbeat.com.action","childbeat.com","FamilyAndFriends > Child"
"1540622474-668","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","jpett.com","https://www.snapnames.com/domain/jpett.com.action","jpett.com","null"
"1540623019-844","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","digitmint.com","https://www.snapnames.com/domain/digitmint.com.action","digitmint.com","Technology > Tech"
"1540623016-843","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","dimwallet.com","https://www.snapnames.com/domain/dimwallet.com.action","dimwallet.com","ClothingAndAccessories > Clothing"
"1540623096-869","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","crophouses.com","https://www.snapnames.com/domain/crophouses.com.action","crophouses.com","HomeAndGarden > Home"
"1540622069-538","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","pathkid.com","https://www.snapnames.com/domain/pathkid.com.action","pathkid.com","FamilyAndFriends > Child"
"1540623320-941","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","boomwig.com","https://www.snapnames.com/domain/boomwig.com.action","boomwig.com","Health > Beauty"
"1540623093-868","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","crowdego.com","https://www.snapnames.com/domain/crowdego.com.action","crowdego.com","People > People"
"1540622311-615","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","mayaatm.com","https://www.snapnames.com/domain/mayaatm.com.action","mayaatm.com","Finance > Finance"
